ISTASYON_NO,AD,ADRES,operator,brand,LATITUDE,LONGITUDE,side
ŞRJ/2140,"KMO FENERKÖY KUZEY OHT1, KMO FENERKÖY KUZEY OHT2",Ali Paşa Mahallesi Merkez Saray Sokağı  Y: 35124/0 Ali Paşa Yolu Silivri / İSTANBUL,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,beefull,41.1219176401397,28.2289614588942,Europe
ŞRJ/2672,CAROUSEL AVM,Zeytinlik Mahallesi Halit Uşaklıgil Caddesi  No:1 Bakırköy / İSTANBUL,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,beefull,40.9774620097103,28.8727810004648,Europe
ŞRJ/2803,SERENİTY COMFORT HOTEL,Mahmutbey Mahallesi Payami Safa Caddesi  No:16 Bağcılar / İSTANBUL,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,beefull,41.0600482445225,28.8268487507241,Europe
ŞRJ/2804,MAYİ HOTEL,Mahmutbey Mahallesi Payami Safa Caddesi  No:25 Bağcılar / İSTANBUL,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,beefull,41.05960012792,28.8310520611448,Europe
ŞRJ/2859,THE İSTANBUL REZİDANS,Sümer Mahallesi Pr.dr. Turan Güneş Caddesi  No:59 Zeytinburnu / İSTANBUL,BEEFULL ENERJİ TEKNOLOJİLERİ ANONİM ŞİRKETİ,beefull,40.992670606261,28.8938058037321,Europe
ŞRJ/5469,YENİBOSNA,Zafer Mahallesi Ahmet Yesevi Caddesi  No:121  Bilali Habeşi Cami Altı Bahçelievler / İSTANBUL,FİLOPORT ARAÇ KİRALAMA VE SERVİS ANONİM ŞİRKETİ,onLIFE,41.0034460569807,28.8385592136291,Europe
ŞRJ/5643,SELİMPAŞA,Selimpaşa Merkez Mahallesi 2050 Sokağı  No:31 Silivri / İSTANBUL,FİLOPORT ARAÇ KİRALAMA VE SERVİS ANONİM ŞİRKETİ,onLIFE,41.056534592425,28.3783007301036,Europe
ŞRJ/2807,GARDEN ET LOKANTASI,Yeni Mahallesi Suna Pekuysal Sokağı  No:30 Silivri / İSTANBUL,VOLNET ENERJİ SİSTEMLERİ SANAYİ TİCARET ANONİM ŞİRKETİ,volti,41.078797643411,28.2415718825737,Europe
ŞRJ/2808,ROBERT KOLEJ MEZUNLAR DERNEĞİ,Kuruçeşme Mahallesi Bizimtepe Çıkmazı Caddesi  No:2 Beşiktaş / İSTANBUL,VOLNET ENERJİ SİSTEMLERİ SANAYİ TİCARET ANONİM ŞİRKETİ,volti,41.0649173700376,29.034951239857,Asia
ŞRJ/3850,NEF 11 KAĞITHANE,Merkez Mahallesi Ayazma Caddesi  No:23 Kağıthane / İSTANBUL,VOLNET ENERJİ SİSTEMLERİ SANAYİ TİCARET ANONİM ŞİRKETİ,volti,41.0832024198582,28.9814696248137,Europe
ŞRJ/4289,PORTA VADİ,Hamidiye Mahallesi Merkez Cendere Caddesi  No:103 Kağıthane / İSTANBUL,VOLNET ENERJİ SİSTEMLERİ SANAYİ TİCARET ANONİM ŞİRKETİ,volti,41.1032878664598,28.9838822115851,Europe
ŞRJ/4899,BRİO İTALYAN RESTORANT,Merkez Mahallesi Kilyos Caddesi  No:322 Sarıyer / İSTANBUL,VOLNET ENERJİ SİSTEMLERİ SANAYİ TİCARET ANONİM ŞİRKETİ,volti,41.1738500189146,29.0542959860926,Asia
